"","target","Gender","EngineHP","credit_history","Years_Experience","annual_claims","Marital_Status","Vehical_type","Miles_driven_annually","size_of_family","Age_bucket","credit_history_bucket","State"
"24",0,"M",120,768,16,1,"Married","Van",7058,1,"28-34","Very Good","ME"
"25",1,"F",144,737,24,1,"Married","Car",6086,8,">40","Good","CT"
"26",1,"F",125,792,18,1,"Married","Car",16610,7,">40","Very Good","CT"
"27",0,"M",110,542,2,2,"Single","Car",13115,3,"18-27","Very Poor","CT"
"28",1,"M",116,718,39,0,"Married","Truck",14992,6,">40","Good","CT"
"29",1,"M",93,798,17,0,"Single","Utility",10791,8,">40","Very Good","NE"
"30",1,"F",130,709,24,0,"Married","Car",7110,3,">40","Good","NJ"
"31",0,"M",122,618,5,3,"Single","Car",20376,8,"18-27","Fair","NJ"
"32",0,"F",306,721,6,2,"Single","Truck",14587,3,"35-40","Good","NJ"
"33",1,"M",159,676,1,0,"Married","Truck",11207,5,"<18","Good","WV"
"34",0,"M",135,762,11,1,"Single","Utility",5138,6,">40","Very Good","NJ"
"35",0,"M",160,764,13,0,"Single","Utility",12088,8,"28-34","Very Good","NJ"
"36",1,"F",80,760,15,0,"Married","Truck",12429,7,">40","Very Good","NJ"
"37",0,"F",153,706,16,0,"Married","Car",12734,3,"28-34","Good","CT"
"38",1,"M",484,608,1,0,"Married","Van",5999,7,"18-27","Fair","CT"
"39",1,"M",207,681,3,2,"Married","Car",14617,6,"18-27","Good","UT"
"40",1,"F",142,773,16,0,"Married","Truck",10067,5,">40","Very Good","CT"
"41",1,"M",95,712,7,0,"Married","Van",25244,7,"18-27","Good","CT"
"42",1,"M",120,689,8,0,"Married","Truck",7411,5,"18-27","Good","OK"
"43",1,"M",84,783,18,1,"Married","Truck",8081,3,"28-34","Very Good","CT"
"44",1,"M",153,628,4,3,"Single","Car",84879,8,"18-27","Fair","NV"
"45",1,"M",250,647,3,1,"Married","Car",10189,3,"18-27","Fair","VT"
"46",0,"M",453,366,1,2,"Single","Utility",21049,3,"18-27","Very Poor","UT"
"47",1,"M",118,708,12,0,"Married","Utility",7697,3,">40","Good","CT"
"48",1,"M",271,618,5,1,"Married","Car",12240,3,"18-27","Fair","CT"
"49",0,"F",154,773,24,1,"Married","Car",12067,2,">40","Very Good","CT"
"50",1,"M",154,615,2,3,"Single","Car",82075,1,"18-27","Fair","MN"
"51",0,"F",177,389,6,2,"Single","Van",13846,1,"35-40","Very Poor","SD"
"52",0,"M",135,688,13,0,"Single","Utility",7022,6,"35-40","Good","NV"
"53",1,"F",85,673,1,0,"Married","Truck",12441,6,"<18","Good","NJ"
"54",1,"M",122,799,32,0,"Married","Utility",5226,4,">40","Very Good","VT"
"55",1,"F",83,729,13,0,"Married","Car",62711,2,"35-40","Good","NJ"
"56",1,"F",93,768,1,0,"Married","Car",21940,5,"<18","Very Good","NJ"
"57",0,"M",89,751,8,0,"Single","Utility",12659,2,"18-27","Very Good","AR"
"58",0,"F",101,778,16,3,"Married","Truck",15742,4,">40","Very Good","NJ"
"59",0,"M",96,379,5,3,"Married","Truck",22730,8,"35-40","Very Poor","CT"
"60",0,"F",301,504,8,2,"Single","Truck",21202,7,"35-40","Very Poor","CT"
"61",1,"M",99,743,30,1,"Married","Truck",5295,3,">40","Very Good","NJ"
"62",1,"M",106,778,24,1,"Married","Van",9020,3,">40","Very Good","KY"
"63",1,"F",117,744,17,1,"Married","Car",9949,5,">40","Very Good","NJ"
"64",1,"M",80,750,10,1,"Single","Utility",7817,4,">40","Very Good","NJ"
"65",1,"F",500,379,8,2,"Single","Van",12901,8,"35-40","Very Poor","NJ"
"66",1,"F",104,732,10,0,"Married","Car",30654,3,"18-27","Good","SC"
"67",1,"F",136,676,26,0,"Married","Car",7307,4,">40","Good","MD"
"68",1,"F",645,700,1,0,"Married","Truck",16334,5,"18-27","Good","NJ"
"69",1,"F",123,671,17,1,"Married","Car",5853,1,"35-40","Good","NJ"
"70",1,"F",125,677,14,0,"Married","Car",12769,1,">40","Good","NJ"
"71",1,"F",209,352,7,2,"Single","Truck",12645,5,"35-40","Very Poor","NJ"
"72",1,"F",107,788,24,3,"Married","Truck",5541,2,">40","Very Good","NJ"
"73",0,"M",314,682,8,1,"Married","Van",58125,5,"18-27","Good","NJ"
"74",1,"F",258,724,9,0,"Married","Car",12654,3,"18-27","Good","CT"
"75",1,"F",93,793,19,0,"Married","Truck",21613,1,">40","Very Good","WY"
"76",1,"F",105,714,28,0,"Single","Car",7862,4,">40","Good","CT"
"77",1,"F",487,653,8,2,"Single","Truck",11572,2,"35-40","Fair","CT"
"78",1,"F",405,620,7,2,"Single","Truck",12670,5,"35-40","Fair","NJ"
"79",1,"M",154,697,20,0,"Married","Utility",5355,1,">40","Good","NJ"
"80",1,"F",101,751,11,0,"Single","Car",14319,4,">40","Very Good","NJ"
"81",0,"F",150,757,29,1,"Married","Truck",14733,2,">40","Very Good","NJ"
"82",1,"F",139,683,15,0,"Single","Car",9019,5,"35-40","Good","PA"
"83",1,"F",380,586,5,3,"Single","Truck",14762,2,"35-40","Fair","NE"
"84",1,"M",95,708,26,0,"Married","Van",9855,6,">40","Good","MS"
"85",1,"M",182,732,2,2,"Single","Car",24269,2,"18-27","Good","CT"
"86",0,"M",107,815,25,0,"Single","Utility",14529,3,">40","Exceptional","NJ"
"87",1,"M",96,766,8,1,"Single","Utility",7827,7,"28-34","Very Good","NJ"
"88",0,"M",237,532,2,2,"Single","Car",11116,1,"18-27","Very Poor","NJ"
"89",1,"F",123,791,16,0,"Married","Truck",6844,1,"35-40","Very Good","NM"
"90",1,"M",108,767,18,0,"Single","Utility",6975,7,">40","Very Good","CT"
"91",0,"M",99,739,13,1,"Married","Utility",12080,3,">40","Good","NJ"
"92",1,"F",400,715,24,1,"Married","Car",20219,5,">40","Good","KY"
"93",0,"M",152,757,9,0,"Married","Truck",9779,8,"18-27","Very Good","KY"
"94",0,"M",97,308,5,3,"Married","Truck",10383,5,">40","Very Poor","WY"
"95",1,"M",92,737,24,0,"Married","Truck",13952,8,">40","Good","NJ"
"96",1,"M",215,713,5,0,"Married","Van",76849,5,"18-27","Good","LA"
"97",1,"F",102,726,22,0,"Married","Car",6332,8,">40","Good","AR"
"98",0,"M",136,769,11,0,"Married","Van",14930,1,">40","Very Good","WI"
"99",1,"F",175,634,7,0,"Single","Van",13368,6,"35-40","Fair","NJ"
"100",0,"M",81,559,8,0,"Married","Van",36937,1,"18-27","Very Poor","CT"
"101",1,"F",180,323,7,3,"Single","Van",24679,1,"35-40","Very Poor","CT"
"102",0,"M",207,685,2,1,"Married","Car",11074,8,"18-27","Good","CT"
"103",1,"F",111,791,7,0,"Married","Car",23437,3,"18-27","Very Good","NJ"
"104",1,"F",349,319,7,2,"Single","Truck",12572,3,"35-40","Very Poor","CT"
"105",0,"F",116,795,20,0,"Married","Car",13353,3,">40","Very Good","NJ"
"106",1,"F",297,409,6,3,"Single","Utility",18418,5,"35-40","Very Poor","CT"
"107",1,"F",303,401,5,2,"Single","Utility",12443,5,"35-40","Very Poor","NJ"
"108",0,"M",100,751,12,1,"Married","Van",6028,5,"35-40","Very Good","CT"
"109",1,"M",156,466,6,3,"Married","Truck",22168,8,"35-40","Very Poor","NH"
"110",1,"F",408,478,5,2,"Single","Truck",14887,7,"35-40","Very Poor","CT"
"111",0,"M",158,789,21,1,"Single","Utility",12804,5,">40","Very Good","IN"
"112",1,"F",119,762,22,1,"Married","Car",5698,1,">40","Very Good","NJ"
"113",1,"M",123,825,21,0,"Single","Utility",9827,4,">40","Exceptional","CT"
"114",1,"M",81,537,3,1,"Married","Truck",71925,4,"<18","Very Poor","NJ"
"115",1,"F",87,750,20,1,"Married","Truck",9421,3,">40","Very Good","MN"
"116",1,"M",293,611,1,2,"Married","Car",32794,1,"18-27","Fair","CT"
"117",1,"M",126,675,10,0,"Single","Utility",5048,4,"28-34","Good","NV"
"118",1,"F",288,614,6,0,"Single","Truck",11821,6,"35-40","Fair","CT"
"119",1,"M",92,781,11,0,"Married","Utility",5417,1,">40","Very Good","CT"
"120",0,"F",154,719,17,1,"Married","Car",12022,3,">40","Good","NJ"
"121",0,"M",386,462,3,3,"Married","Car",14847,3,"18-27","Very Poor","CT"
"122",0,"M",116,759,24,1,"Married","Van",6579,6,">40","Very Good","WV"
"123",1,"F",491,692,36,1,"Married","Truck",8662,1,">40","Good","SC"
"124",1,"F",264,585,7,0,"Single","Truck",13371,2,"35-40","Fair","NJ"
"125",0,"F",113,789,3,0,"Married","Car",13154,7,"18-27","Very Good","AZ"
"126",1,"M",86,688,25,0,"Single","Utility",11908,6,">40","Good","MA"
"127",1,"F",627,682,9,0,"Married","Car",18561,5,"18-27","Good","CT"
"128",1,"M",95,699,14,1,"Married","Van",63466,4,"28-34","Good","GA"
"129",0,"M",90,685,15,0,"Married","Van",10101,2,">40","Good","VT"
"130",0,"F",83,321,8,1,"Married","Car",65489,1,"18-27","Very Poor","NJ"
"131",1,"M",432,596,1,0,"Married","Truck",6449,7,"<18","Fair","CT"
"132",1,"F",132,793,19,1,"Single","Car",7180,8,">40","Very Good","NJ"
"133",0,"M",447,654,3,0,"Married","Van",13139,7,"<18","Fair","NJ"
"134",0,"F",130,783,15,0,"Married","Car",11894,2,">40","Very Good","CT"
"135",1,"M",478,645,5,1,"Married","Car",14649,5,"18-27","Fair","CT"
"136",0,"M",106,687,24,1,"Married","Car",12017,1,">40","Good","NJ"
"137",0,"M",153,709,28,0,"Married","Truck",9653,6,">40","Good","CT"
"138",0,"M",83,691,5,0,"Single","Utility",5478,2,"<18","Good","CT"
"139",0,"M",169,675,4,2,"Single","Car",13294,6,"18-27","Good","VT"
"140",1,"M",146,683,14,1,"Married","Van",5414,3,"35-40","Good","NJ"
"141",1,"M",132,421,1,3,"Single","Car",12305,1,"18-27","Very Poor","FL"
"142",0,"M",440,695,4,1,"Married","Car",12906,8,"18-27","Good","WV"
"143",1,"F",104,672,22,0,"Married","Car",14672,8,">40","Good","CT"
"144",0,"M",364,610,2,1,"Married","Car",25670,5,"18-27","Fair","CT"
"145",0,"M",157,686,19,0,"Married","Truck",10277,4,">40","Good","CT"
"146",1,"F",443,666,8,3,"Single","Truck",11164,8,"35-40","Fair","ND"
"147",0,"F",143,672,23,2,"Married","Car",5042,3,">40","Good","NJ"
"148",1,"M",159,758,17,1,"Married","Van",11911,8,">40","Very Good","NJ"
"149",1,"F",394,591,5,0,"Married","Car",9172,7,"18-27","Fair","WV"
"150",0,"M",114,730,20,0,"Married","Van",11844,4,">40","Good","CT"
"151",1,"M",85,689,20,0,"Married","Truck",10084,8,">40","Good","NJ"
"152",1,"M",119,707,19,0,"Married","Van",13799,5,">40","Good","NJ"
"153",0,"F",121,745,15,0,"Married","Car",9178,6,">40","Very Good","RI"
"154",0,"F",666,762,5,1,"Married","Truck",10416,5,"28-34","Very Good","NJ"
"155",1,"M",468,495,4,2,"Married","Car",14782,5,"18-27","Very Poor","SC"
"156",0,"F",179,489,7,3,"Single","Van",13974,5,"35-40","Very Poor","KY"
"157",1,"M",184,670,4,2,"Single","Car",11529,4,"18-27","Good","CT"
"158",1,"F",253,738,6,1,"Married","Car",71430,3,"18-27","Good","FL"
"159",0,"F",435,691,6,3,"Single","Truck",12331,6,"35-40","Good","CT"
"160",1,"F",126,638,6,2,"Single","Van",48426,8,"35-40","Fair","WA"
"161",1,"F",127,689,19,0,"Married","Car",8685,6,"35-40","Good","ND"
"162",0,"F",118,736,6,1,"Single","Car",58173,5,"18-27","Good","NJ"
"163",1,"F",104,781,17,1,"Single","Car",11114,3,">40","Very Good","KS"
"164",1,"F",84,507,5,0,"Single","Car",40282,5,"18-27","Very Poor","NJ"
"165",1,"M",383,644,2,3,"Married","Car",69612,5,"18-27","Fair","VT"
"166",1,"F",427,736,36,0,"Married","Truck",10173,2,">40","Good","CT"
"167",1,"F",122,726,19,0,"Single","Car",10094,3,"28-34","Good","NJ"
"168",1,"M",118,816,18,1,"Single","Utility",5985,6,">40","Exceptional","NE"
"169",1,"M",107,643,3,2,"Single","Car",86878,2,"18-27","Fair","NJ"
"170",1,"M",446,422,2,1,"Married","Car",14174,6,"18-27","Very Poor","NJ"
"171",1,"M",161,511,8,2,"Married","Truck",13553,3,"35-40","Very Poor","CT"
"172",0,"M",94,778,39,4,"Single","Utility",6639,2,">40","Very Good","OK"
"173",1,"F",108,740,38,0,"Married","Truck",7779,5,">40","Very Good","DE"
"174",1,"M",101,705,1,3,"Single","Car",24601,7,"18-27","Good","IL"
"175",1,"F",399,696,6,2,"Single","Truck",12990,3,"35-40","Good","NJ"
"176",1,"M",105,556,1,3,"Single","Car",10832,5,"18-27","Very Poor","NJ"
"177",1,"M",126,672,17,4,"Single","Utility",10138,7,">40","Good","CT"
"178",0,"M",107,418,5,3,"Single","Car",12073,5,"18-27","Very Poor","ME"
"179",1,"F",230,529,2,0,"Married","Truck",55116,7,"<18","Very Poor","NJ"
"180",1,"M",100,306,6,2,"Married","Truck",12414,4,"35-40","Very Poor","NJ"
"181",0,"M",125,710,25,1,"Married","Car",6493,6,">40","Good","CT"
"182",0,"M",94,798,18,0,"Married","Van",11031,4,">40","Very Good","CT"
"183",1,"F",332,639,7,0,"Single","Truck",12406,4,"35-40","Fair","NJ"
"184",1,"F",410,583,8,2,"Single","Truck",14450,4,"35-40","Fair","WY"
"185",1,"M",114,772,18,0,"Single","Utility",10441,2,">40","Very Good","OK"
"186",1,"M",245,522,3,1,"Married","Van",52474,6,"<18","Very Poor","WV"
"187",1,"M",151,445,3,3,"Single","Car",16575,3,"18-27","Very Poor","TX"
"188",0,"F",114,689,10,1,"Married","Truck",71076,1,"18-27","Good","CT"
"189",1,"M",424,448,5,2,"Married","Car",13230,7,"18-27","Very Poor","IL"
"190",1,"F",126,758,20,0,"Married","Car",14469,8,">40","Very Good","NJ"
"191",0,"M",389,656,4,0,"Single","Car",11802,8,"18-27","Fair","WV"
"192",1,"M",164,439,7,2,"Married","Truck",12074,7,"35-40","Very Poor","ID"
"193",0,"F",111,672,13,1,"Married","Car",6017,7,">40","Good","CT"
"194",1,"M",415,675,1,2,"Married","Car",14857,8,"18-27","Good","TX"
"195",1,"M",82,673,27,1,"Married","Van",11713,6,">40","Good","CT"
"196",1,"F",435,599,5,3,"Single","Van",18451,5,"35-40","Fair","CT"
"197",1,"F",157,765,19,0,"Married","Car",7908,7,"28-34","Very Good","CT"
"198",1,"F",104,737,11,0,"Married","Truck",11294,1,">40","Good","CT"
"199",0,"M",90,716,21,1,"Married","Van",14783,5,">40","Good","NJ"
"200",1,"F",123,783,36,0,"Married","Car",6199,7,">40","Very Good","CT"
"201",1,"M",87,762,32,1,"Married","Van",6293,5,">40","Very Good","AK"
"202",1,"F",122,684,2,0,"Married","Truck",5404,6,"<18","Good","CT"
"203",1,"F",106,784,9,1,"Single","Car",7037,8,"28-34","Very Good","VT"
"204",0,"M",179,665,8,4,"Married","Truck",13730,4,"35-40","Fair","CT"
"205",1,"F",110,710,13,1,"Married","Truck",8219,4,">40","Good","NJ"
"206",0,"M",102,741,17,0,"Married","Truck",12313,8,">40","Very Good","NJ"
"207",1,"M",101,725,6,0,"Single","Utility",14248,5,"28-34","Good","NJ"
"208",1,"M",143,778,31,0,"Married","Van",8641,3,">40","Very Good","HI"
"209",0,"M",124,783,30,4,"Single","Utility",12722,2,">40","Very Good","RI"
"210",1,"F",98,698,19,0,"Married","Truck",13975,2,">40","Good","WA"
"211",1,"M",440,708,4,3,"Married","Car",11951,3,"18-27","Good","CT"
"212",0,"M",157,732,20,0,"Married","Utility",9906,3,">40","Good","NJ"
"213",1,"M",155,779,25,0,"Single","Utility",11967,8,">40","Very Good","CO"
"214",1,"F",125,724,5,0,"Married","Car",34728,4,"28-34","Good","CA"
"215",0,"M",81,798,25,1,"Married","Truck",6520,6,">40","Very Good","MS"
"216",1,"F",99,672,7,2,"Single","Van",12120,2,"35-40","Good","ND"
"217",1,"M",152,726,16,0,"Married","Truck",7659,1,">40","Good","CT"
"218",1,"M",88,783,21,0,"Married","Van",14516,3,">40","Very Good","TX"
"219",1,"F",157,758,22,3,"Married","Truck",22816,6,">40","Very Good","MT"
"220",1,"F",143,729,18,1,"Married","Car",8136,8,">40","Good","NJ"
"221",1,"F",103,741,15,1,"Married","Car",6740,4,"28-34","Very Good","CT"
"222",0,"F",400,591,7,2,"Single","Truck",11614,4,"35-40","Fair","GA"
"223",0,"F",138,716,10,0,"Married","Car",12758,2,">40","Good","NJ"
"224",1,"F",102,720,21,1,"Married","Car",12877,8,">40","Good","NJ"
"225",0,"F",112,791,10,1,"Married","Car",13495,6,"18-27","Very Good","NJ"
"226",1,"F",344,382,1,1,"Married","Car",73053,5,"<18","Very Poor","NH"
"227",1,"F",324,581,5,0,"Single","Van",12580,6,"35-40","Fair","CT"
"228",1,"F",159,671,7,1,"Married","Car",57773,7,"28-34","Good","TX"
"229",1,"F",489,721,5,3,"Single","Truck",10577,1,"35-40","Good","NJ"
"230",1,"M",107,711,5,0,"Married","Truck",57981,4,"18-27","Good","NJ"
"231",1,"M",114,766,5,0,"Married","Van",11026,6,"18-27","Very Good","NM"
"232",1,"M",159,726,38,0,"Single","Utility",6145,5,">40","Good","AL"
"233",1,"M",228,586,4,0,"Single","Utility",11896,7,"18-27","Fair","CT"
"234",1,"F",126,687,25,0,"Married","Car",14501,3,">40","Good","NJ"
"235",1,"M",86,796,28,1,"Married","Van",11598,7,">40","Very Good","WA"
"236",0,"M",126,691,25,0,"Married","Van",10274,1,">40","Good","NJ"
"237",1,"F",190,606,6,1,"Single","Van",13969,8,"35-40","Fair","HI"
"238",0,"M",81,792,28,0,"Married","Van",14567,2,">40","Very Good","CT"
"239",0,"F",112,746,25,0,"Married","Car",22201,4,">40","Very Good","NJ"
"240",1,"F",100,680,17,2,"Married","Car",10113,1,">40","Good","AZ"
"241",0,"M",498,717,3,2,"Married","Car",11262,2,"18-27","Good","NJ"
"242",1,"F",127,697,19,0,"Married","Car",9815,2,">40","Good","WY"
"243",1,"M",428,643,4,3,"Married","Car",24996,5,"18-27","Fair","NV"
"244",1,"F",146,679,29,0,"Married","Car",20922,4,">40","Good","NJ"
"245",0,"M",159,648,5,3,"Married","Truck",64274,3,"35-40","Fair","TX"
"246",0,"M",88,758,21,0,"Married","Van",5155,5,">40","Very Good","NJ"
"247",0,"F",133,670,17,1,"Married","Car",8303,5,">40","Good","CT"
"248",0,"M",152,690,24,0,"Married","Truck",9921,2,">40","Good","RI"
"249",1,"M",512,700,39,1,"Married","Truck",7475,8,">40","Good","CT"
"250",0,"F",157,790,23,0,"Married","Truck",19980,5,">40","Very Good","CT"
"251",1,"F",585,699,15,0,"Married","Car",22144,6,">40","Good","NJ"
"252",0,"F",82,705,17,1,"Married","Truck",7035,2,">40","Good","AZ"
"253",1,"F",235,581,8,0,"Single","Van",10054,7,"35-40","Fair","VT"
"254",1,"F",118,769,26,3,"Married","Truck",11524,8,">40","Very Good","NJ"
"255",0,"F",236,413,5,2,"Single","Truck",13660,3,"35-40","Very Poor","CT"
"256",1,"F",100,697,22,1,"Married","Car",5305,4,">40","Good","NJ"
"257",1,"M",118,706,13,1,"Married","Van",8537,7,">40","Good","CT"
"258",1,"F",451,825,6,3,"Single","Truck",24680,6,"35-40","Exceptional","CT"
"259",0,"F",176,653,8,0,"Single","Van",10656,1,"35-40","Fair","GA"
"260",1,"M",195,736,4,2,"Single","Car",14615,1,"18-27","Good","CT"
"261",1,"F",140,682,36,1,"Married","Car",6729,7,">40","Good","KY"
"262",0,"F",180,695,5,0,"Married","Truck",30489,7,"18-27","Good","ME"
"263",0,"F",84,676,14,1,"Married","Car",29040,2,">40","Good","SC"
"264",1,"F",80,707,17,1,"Single","Car",6833,3,">40","Good","GA"
"265",0,"F",128,740,10,0,"Single","Car",6569,6,">40","Very Good","CT"
"266",0,"M",89,687,23,0,"Married","Van",9875,7,">40","Good","VT"
"267",1,"M",121,742,13,0,"Married","Truck",10680,2,"28-34","Very Good","CO"
"268",1,"M",80,758,15,0,"Single","Utility",12033,6,">40","Very Good","SD"
"269",1,"M",135,418,6,3,"Married","Truck",12449,5,"35-40","Very Poor","NM"
"270",1,"M",159,744,13,1,"Single","Utility",6750,3,"35-40","Very Good","NJ"
"271",1,"M",286,547,1,2,"Married","Car",20516,4,"18-27","Very Poor","MO"
"272",0,"F",248,730,3,1,"Single","Car",82250,6,"<18","Good","NJ"
"273",0,"M",186,681,4,2,"Single","Car",11300,8,"18-27","Good","NJ"
"274",1,"F",94,682,5,1,"Married","Truck",7713,5,"18-27","Good","SC"
"275",1,"F",149,763,16,0,"Single","Car",13073,7,">40","Very Good","SC"
"276",0,"F",125,693,13,1,"Married","Truck",8687,2,"28-34","Good","CT"
"277",0,"M",100,850,8,3,"Married","Truck",22917,7,"35-40","Exceptional","CT"
"278",0,"F",134,725,28,0,"Married","Car",7424,3,">40","Good","AZ"
"279",1,"F",357,710,20,0,"Married","Truck",23337,5,">40","Good","WV"
"280",0,"F",107,686,35,1,"Married","Car",12593,7,">40","Good","WI"
"281",1,"F",98,697,22,2,"Married","Car",14982,3,">40","Good","WV"
"282",1,"M",111,678,35,1,"Married","Van",7292,5,">40","Good","CT"
"283",1,"F",94,707,23,1,"Married","Car",9247,6,">40","Good","NJ"
"284",1,"M",104,678,15,0,"Married","Truck",13996,6,"35-40","Good","WI"
"285",0,"M",148,769,12,1,"Married","Truck",8677,8,">40","Very Good","CT"
"286",1,"M",93,752,10,1,"Married","Utility",9644,3,"18-27","Very Good","CT"
"287",0,"M",112,690,13,0,"Married","Utility",7471,7,"35-40","Good","NJ"
"288",0,"F",119,701,15,0,"Married","Car",7488,8,"35-40","Good","VA"
"289",1,"M",108,706,26,1,"Single","Utility",14443,3,">40","Good","CT"
"290",0,"F",158,682,9,2,"Married","Car",7907,8,"28-34","Good","CT"
"291",1,"F",128,670,15,1,"Married","Truck",8388,4,">40","Good","NJ"
"292",1,"M",106,675,13,1,"Married","Van",8420,2,">40","Good","TX"
"293",0,"M",154,738,16,1,"Married","Van",5028,6,"28-34","Good","WI"
"294",1,"F",299,714,3,1,"Single","Car",49056,7,"18-27","Good","KS"
"295",1,"M",90,757,12,4,"Single","Utility",6871,6,"28-34","Very Good","NJ"
"296",1,"M",108,717,5,2,"Married","Truck",12783,3,"35-40","Good","HI"
"297",1,"M",220,616,4,1,"Married","Car",14376,5,"18-27","Fair","CT"
"298",1,"M",159,700,7,1,"Single","Utility",12078,6,"18-27","Good","CT"
"299",1,"M",245,640,5,1,"Married","Car",11045,1,"18-27","Fair","MA"
"300",1,"M",253,678,3,3,"Single","Utility",10251,4,"18-27","Good","CT"
"301",1,"F",96,798,13,0,"Single","Car",14599,7,">40","Very Good","TX"
"302",1,"F",150,683,28,0,"Single","Car",10002,8,">40","Good","NJ"
"303",1,"F",148,772,40,0,"Married","Car",6944,8,">40","Very Good","NJ"
"304",1,"M",159,777,17,0,"Married","Van",13156,8,"28-34","Very Good","MT"
"305",0,"F",118,759,3,1,"Married","Truck",5219,5,"18-27","Very Good","CO"
"306",1,"M",143,728,19,4,"Single","Utility",10681,4,"35-40","Good","CT"
"307",1,"F",156,756,5,0,"Married","Truck",8520,7,"28-34","Very Good","AR"
"308",1,"M",143,797,11,1,"Married","Van",13599,4,">40","Very Good","MI"
"309",1,"M",158,691,4,2,"Single","Car",11421,3,"18-27","Good","WA"
"310",1,"F",185,711,3,1,"Single","Car",73342,2,"18-27","Good","SD"
"311",1,"M",135,787,5,0,"Married","Van",6416,1,"18-27","Very Good","WV"
"312",1,"M",583,758,4,1,"Married","Truck",14658,1,"<18","Very Good","WA"
"313",0,"M",376,460,3,3,"Married","Car",13759,6,"18-27","Very Poor","CO"
"314",1,"F",361,686,8,2,"Single","Truck",12256,1,"35-40","Good","NJ"
"315",1,"F",81,712,36,0,"Single","Car",12453,3,">40","Good","IN"
"316",1,"M",119,850,11,4,"Single","Utility",6615,2,">40","Exceptional","OK"
"317",1,"F",118,648,5,3,"Single","Van",43159,1,"35-40","Fair","NJ"
"318",1,"M",80,701,10,1,"Single","Utility",5625,5,"18-27","Good","CT"
"319",0,"F",130,724,6,3,"Single","Van",13267,6,"35-40","Good","CT"
"320",1,"M",80,782,25,0,"Married","Van",6721,8,">40","Very Good","VT"
"321",0,"M",111,675,9,1,"Married","Van",8473,1,"28-34","Good","NJ"
"322",0,"F",111,723,20,0,"Married","Car",13172,4,">40","Good","MT"
"323",0,"F",388,708,6,3,"Single","Truck",13638,7,"35-40","Good","TX"
"324",0,"F",149,753,6,1,"Married","Car",8424,7,"28-34","Very Good","NJ"
"325",1,"F",138,797,20,3,"Married","Truck",16809,7,"35-40","Very Good","CT"
"326",1,"M",495,610,3,0,"Married","Car",12566,7,"18-27","Fair","CT"
"327",1,"M",111,680,25,1,"Married","Van",8085,3,">40","Good","WV"
"328",0,"M",127,790,21,0,"Single","Utility",6150,3,">40","Very Good","CT"
"329",1,"F",673,681,37,0,"Married","Car",13812,2,">40","Good","NJ"
"330",1,"F",98,674,18,1,"Married","Car",12630,5,"35-40","Good","ID"
"331",1,"M",143,721,21,0,"Married","Truck",6357,7,">40","Good","CT"
"332",1,"M",152,777,6,1,"Married","Utility",7154,2,"18-27","Very Good","NH"
"333",0,"F",127,782,14,0,"Married","Car",19490,3,">40","Very Good","CT"
"334",1,"M",374,727,1,2,"Married","Car",14068,3,"18-27","Good","IA"
"335",0,"M",136,716,18,0,"Married","Utility",8428,7,"28-34","Good","CT"
"336",1,"M",141,677,7,0,"Married","Van",37789,7,"28-34","Good","OK"
"337",1,"F",102,690,7,0,"Single","Car",6210,6,"18-27","Good","WI"
"338",1,"F",355,583,3,3,"Single","Truck",12332,6,"18-27","Fair","CT"
